,stop_code,stop_name,stop_lat,stop_lon,geometry
893,140064,Smith Creek Rd at Sugosa Pl,49.85176,-119.6431,POINT (-119.6431 49.85176)
894,103589,Smith Creek Rd at Elliott Rd,49.84782,-119.63926,POINT (-119.63926 49.84782)
895,103573,Elliott Rd at Reece Rd,49.84423,-119.63405,POINT (-119.63405 49.84423)
896,103585,Elliott Rd at Nuefeld Cres,49.84199,-119.63402,POINT (-119.63402 49.84199)
897,103594,Elliott Rd at Butt Rd,49.83642,-119.63117,POINT (-119.63117 49.83642)
898,103598,3600 Blk Elliott Rd,49.83354,-119.63114,POINT (-119.63114 49.83354)
899,103602,Elliott Rd at Delray Rd,49.83015,-119.63108,POINT (-119.63108 49.83015)
900,103457,Okanagan College Exchange Bay C,49.86095,-119.4812,POINT (-119.4812 49.86095)
901,103038,K.L.O. Rd at Gordon Dr,49.86091,-119.47554,POINT (-119.47554 49.86091)
902,103045,K.L.O. Rd at Holland Rd,49.86091,-119.47253,POINT (-119.47253 49.86091)
903,103059,K.L.O. Rd at St Amand Rd,49.8609,-119.46676,POINT (-119.46676 49.8609)
904,103088,K.L.O. Rd at Benvoulin Rd West Side,49.86088,-119.45995,POINT (-119.45995 49.86088)
905,103084,K.L.O. Rd at Benvoulin Rd West Side,49.86104,-119.45854,POINT (-119.45854 49.86104)
906,103042,K.L.O. Rd at Holland Rd,49.86109,-119.47275,POINT (-119.47275 49.86109)
907,103039,Lanfranco Rd at Lakeshore Rd,49.85815,-119.4903,POINT (-119.4903 49.85815)
908,103326,Dougall Rd N at McIntosh Rd,49.89262,-119.39273,POINT (-119.39273 49.89262)
909,103335,Leathead Rd at Asher Rd,49.8953,-119.39157,POINT (-119.39157 49.8953)
910,103375,Rutland Rd N at Hardie Rd,49.89512,-119.38697,POINT (-119.38697 49.89512)
911,140181,Byland Rd at Kyle Rd,49.85908,-119.5919,POINT (-119.5919 49.85908)
912,103844,Princeton Ave at Pierce St,49.75315,-119.7902,POINT (-119.7902 49.75315)
913,103063,Bear Creek Rd at McNaughton Rd,49.89299,-119.54761,POINT (-119.54761 49.89299)
914,140163,John Hindle Dr at Glenmore Landfill,49.94415,-119.41218,POINT (-119.41218 49.94415)
