,stop_code,stop_name,stop_lat,stop_lon,geometry
558,100626,Foul Bay Rd at Kings Rd,48.43756,-123.32208,POINT (-123.32208 48.43756)
559,100627,Cedar Hill Rd at McRae Ave,48.45097,-123.3409,POINT (-123.3409 48.45097)
560,100628,Tillicum Rd at Maddock Ave W,48.45223,-123.39527,POINT (-123.39527 48.45223)
561,100629,Windsor Rd at Hampshire Rd,48.42198,-123.31563,POINT (-123.31563 48.42198)
562,100630,Maplewood Rd at Camrose Cres,48.45409,-123.35069,POINT (-123.35069 48.45409)
563,100631,Cedar Hill Rd at Doncaster Dr,48.45064,-123.34159,POINT (-123.34159 48.45064)
564,100632,Oak Bay Ave at Hampshire Rd,48.42657,-123.31573,POINT (-123.31573 48.42657)
565,100633,Central Ave at Monterey Ave,48.41666,-123.31526,POINT (-123.31526 48.41666)
566,100634,Craigflower Rd at Forshaw Rd,48.44543,-123.40975,POINT (-123.40975 48.44543)
567,100635,Esquimalt Rd at Grafton St,48.42936,-123.42345,POINT (-123.42345 48.42936)
568,100636,Shelbourne St at Hillside Centre,48.44677,-123.33345,POINT (-123.33345 48.44677)
569,100637,North Dairy Rd at Browning St,48.44825,-123.3347,POINT (-123.3347 48.44825)
570,100638,Colville Rd at Admirals Rd,48.43755,-123.4187,POINT (-123.4187 48.43755)
571,100639,Cadboro Bay Rd at Epworth St,48.43255,-123.32012,POINT (-123.32012 48.43255)
572,100641,Lansdowne Rd at Aldridge St,48.44625,-123.33053,POINT (-123.33053 48.44625)
573,100642,Vernon Ave at Saanich Rd,48.4565,-123.3713,POINT (-123.3713 48.4565)
574,100643,Saanich Rd at Darwin Ave,48.45704,-123.36965,POINT (-123.36965 48.45704)
575,100644,Craigflower Rd at Forshaw Rd,48.44559,-123.41045,POINT (-123.41045 48.44559)
576,100645,Saanich Rd at Darwin Ave,48.45717,-123.36927,POINT (-123.36927 48.45717)
577,100646,Richmond Rd at Forrester St,48.44406,-123.32709,POINT (-123.32709 48.44406)
578,100647,Quadra St at Tattersall Dr,48.45786,-123.36003,POINT (-123.36003 48.45786)
579,100648,Tillicum Rd at Tillicum Centre,48.45333,-123.39435,POINT (-123.39435 48.45333)
580,100649,Obed Ave at Bodega Rd,48.45129,-123.40062,POINT (-123.40062 48.45129)
581,100650,Blanshard St at Ravine Way - Uptown,48.45701,-123.37602,POINT (-123.37602 48.45701)
582,100651,Canteen Rd at Esquimalt Rd,48.4289,-123.42462,POINT (-123.42462 48.4289)
583,100652,Richmond Rd at Forrester St,48.44396,-123.32691,POINT (-123.32691 48.44396)
584,100653,Lansdowne Rd at Richmond Rd,48.44608,-123.32717,POINT (-123.32717 48.44608)
585,100654,Windsor Rd at Monterey Ave,48.42197,-123.3139,POINT (-123.3139 48.42197)
586,100655,Quadra St at Tattersall Dr,48.45827,-123.35988,POINT (-123.35988 48.45827)
587,100656,Shelbourne St at North Dairy Rd,48.44843,-123.33312,POINT (-123.33312 48.44843)
588,100657,Oak Bay Ave at Monterey Ave,48.42641,-123.31459,POINT (-123.31459 48.42641)
589,100659,Foul Bay Rd at Townley St,48.44006,-123.32217,POINT (-123.32217 48.44006)
590,100661,Maplewood Rd at Derby Rd,48.45565,-123.35083,POINT (-123.35083 48.45565)
591,100662,Burnside Rd W at Tillicum Rd,48.45462,-123.39358,POINT (-123.39358 48.45462)
592,100664,Cadboro Bay Rd at Eastdowne Rd,48.43357,-123.3171,POINT (-123.3171 48.43357)
593,100665,Foul Bay Rd at Townley St,48.44053,-123.32193,POINT (-123.32193 48.44053)
594,100668,Obed Ave at Bodega Rd,48.45165,-123.40109,POINT (-123.40109 48.45165)
595,100669,Monterey Ave at Woodlawn Cres,48.4285,-123.31393,POINT (-123.31393 48.4285)
596,100670,Burnside Rd W at Tillicum Rd,48.45516,-123.39353,POINT (-123.39353 48.45516)
597,100671,Tillicum Centre - Lower Level,48.45429,-123.3964,POINT (-123.3964 48.45429)
598,100673,Cadboro Bay Rd at Eastdowne Rd,48.43346,-123.31591,POINT (-123.31591 48.43346)
599,100674,Monterey Ave at Woodlawn Cres,48.42849,-123.31413,POINT (-123.31413 48.42849)
600,100676,Cedar Hill Rd at Oak Crest Dr,48.45298,-123.34013,POINT (-123.34013 48.45298)
601,100677,Cedar Hill Rd at Oak Crest Dr,48.45315,-123.34025,POINT (-123.34025 48.45315)
602,100678,Richmond Rd at Watson St,48.44554,-123.32677,POINT (-123.32677 48.44554)
603,100679,Vernon Ave at Ravine Way,48.45895,-123.37649,POINT (-123.37649 48.45895)
604,100680,Lansdowne Rd at Richmond Rd,48.44622,-123.32717,POINT (-123.32717 48.44622)
605,100681,Foul Bay Rd at Neil St,48.44171,-123.32208,POINT (-123.32208 48.44171)
606,100682,Maplewood Rd at Pike St,48.4566,-123.35099,POINT (-123.35099 48.4566)
607,100683,Craigflower Rd at Garthland Rd,48.4466,-123.4122,POINT (-123.4122 48.4466)
608,100684,Carey Rd at Harriet Rd,48.45834,-123.37926,POINT (-123.37926 48.45834)
609,100685,Shelbourne St at McRae Ave,48.45008,-123.33326,POINT (-123.33326 48.45008)
610,100686,Oak Bay Ave at Oliver St,48.42636,-123.31232,POINT (-123.31232 48.42636)
611,100687,Craigflower Rd at Garthland Rd,48.44653,-123.41238,POINT (-123.41238 48.44653)
612,100688,Maplewood Rd at Pike St,48.45707,-123.35086,POINT (-123.35086 48.45707)
613,100689,Foul Bay Rd at Neil St,48.44222,-123.32183,POINT (-123.32183 48.44222)
614,100690,Windsor Rd at St Patrick St,48.42195,-123.31139,POINT (-123.31139 48.42195)
615,100691,Admirals Rd at Coles St,48.43809,-123.42228,POINT (-123.42228 48.43809)
616,100692,Admirals Rd at Coles St,48.43822,-123.42224,POINT (-123.42224 48.43822)
